run_id,analyst_id,firm_id,forecast_quarter,target_quarter,eps_forecast,target_price,rating,methodology,horizon,prior_forecast,revision,actual_eps,forecast_error
run_1776455700,analyst_1,firm_0,1,2,-3.5,1.25,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_1,1,2,-7.25,0.75,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_2,1,2,0.38,15.0,buy,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_3,1,2,0.1,5.0,hold,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_4,1,2,-4.75,1.0,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_0,1,2,-3.5,15.0,hold,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_1,1,2,-7.25,12.0,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_2,1,2,0.38,45.0,buy,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_3,1,2,0.1,22.0,hold,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_4,1,2,-4.75,10.0,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_0,2,3,-3.3,15.0,hold,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_1,2,3,-3.0,5.0,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_2,2,3,0.42,45.0,buy,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_3,2,3,0.25,14.9,hold,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_4,2,3,-5.25,1.0,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_0,3,4,-3.5,3.0,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_1,3,4,-3.0,2.0,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_2,3,4,0.28,20.0,buy,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_3,3,4,0.15,15.0,hold,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_4,3,4,-2.0,1.0,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_0,4,5,-3.5,2.5,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_1,4,5,-2.75,1.5,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_2,4,5,0.28,20.0,buy,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_3,4,5,0.15,15.0,hold,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_4,4,5,-2.0,1.0,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_0,4,5,-3.5,2.5,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_1,4,5,-2.75,1.75,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_2,4,5,0.28,22.0,buy,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_3,4,5,0.15,16.0,hold,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_4,4,5,-2.0,1.5,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_1,5,6,-0.45,0.05,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_2,5,6,0.05,15.8,hold,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_3,5,6,1.5,6.5,hold,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_1,firm_4,5,6,-0.65,1.0,sell,DCF,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_1,5,6,-1.13,1.0,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_2,5,6,0.15,22.0,buy,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_3,5,6,1.5,16.0,hold,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_3,firm_4,5,6,-0.65,1.5,sell,event_driven,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_1,6,7,-0.03,0.1,sell,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_2,6,7,0.12,20.0,buy,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_3,6,7,1.5,10.0,hold,comparables,1Q,0.0,0.0,0.0,0.0
run_1776455700,analyst_2,firm_4,6,7,-0.5,0.5,sell,comparables,1Q,0.0,0.0,0.0,0.0
